@id,addr:housenumber,addr:street,amenity,cuisine,name,wheelchair,lon,lat,addr:postcode,addr:suburb,building,internet_access,opening_hours,phone,takeaway,website,@geometry,outdoor_seating,level,smoking,brand,brand:wikidata,brand:wikipedia,check_date,contact:facebook,email,website:menu,addr:unit,contact:instagram,addr:state,check_date:opening_hours,opening_hours:signed,fixme,tourism,wikidata,building:levels,roof:levels,drive_through,indoor_seating,name:ko,internet_access:fee,official_name,addr:city,air_conditioning,bar,brewery,min_age,outdoor_seating:comfort,toilets,shop,branch,ref,addr:country,changing_table,currency:USD,delivery,diet:gluten_free,diet:halal,diet:kosher,diet:lactose_free,diet:pescetarian,diet:vegan,diet:vegetarian,highchair,organic,payment:app,payment:cash,payment:contactless,payment:credit_cards,payment:debit_cards,reservation,stroller,toilets:wheelchair,contact:phone,contact:website,indoor,note,source,atm,brand:zh,drink,int_name,name:zh,diet:dairy_free,drink:wine,name:en,addr:housename,capacity,mobile,payment:card,payment:eftpos,alt_name,description,operator,start_date,contact:email,payment:coins,toilets:access,brand:en,phone:AU,short_name,level_ref,contact:tiktok,cafe,name:he,delivery:partner,delivery:partner:wikidata,internet_access:ssid,level:ref,office,drink:matcha,instagram
node/245806668,222,Pelham Street,cafe,sandwich;cake;coffee_shop,Books n Bites Cafe,no,144.9583162,-37.8017523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/270522825,19,Somerset Place,cafe,jaffles;sandwich;salad;light_meals;no_kitchen;coffee_shop;exotic_coffee;tea_room,Cartel Coffee Roasters Melbourne,,144.9624151,-37.8138569,3000,Melbourne,yes,yes,Mo-Fr 07:00-16:00; Sa 08:00-15:30,+61 3 9670 4904,yes,https://www.coffeecartel.com.au/,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/458702508,,Birdwood Avenue,cafe,,Jardin Tan,,144.9757359,-37.8296276,,,,,,+61 3 9691 3878,,https://www.jardintan.com.au/,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/570616542,,,cafe,,Espresso Bar International,yes,144.9551442,-37.8191459,,,,,,,only,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/578828287,,,cafe,,Royal Domain Caf?,,144.9710687,-37.8316581,,,,,,,yes,,,yes,,outside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/578829102,,,cafe,,Dock Dot,,144.9710419,-37.8315437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/592643659,,,cafe,,Fine Grind,,144.9652106,-37.8178708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/592841894,,,cafe,,Two Fingers,,144.9693655,-37.8159946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/595482856,140,Swanston Street,cafe,,Brunetti Oro,,144.9663757,-37.8142862,3000,Melbourne,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/598405140,,,cafe,,No. 136 Coffee,yes,144.9636713,-37.8149205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/598405141,,,cafe,bubble_tea,MilkSha,,144.9637058,-37.8149917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/607612350,,,cafe,,Soul Cafe,,144.965246,-37.813182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/612771032,,,cafe,coffee_shop,Hudsons Coffee,,144.972162,-37.810099,,,,,,,yes,,,,,,Hudsons Coffee,Q5929076,en:Hudsons Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/614492382,408,Bourke Street,cafe,,Corner & Bench,,144.961567,-37.814528,3000,Melbourne,,,Mo-Fr 07:30-15:00; Sa 08:00-14:00; Su off,+61 3 9602 4777,,https://www.cornerandbench.com/,,,,,,,,9/02/2026,https://www.facebook.com/Corner-Bench-523646301094104,team@cornerandbench.com,https://www.cornerandbench.com/menu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/614493844,13,Hardware Lane,cafe,,Jeremy's Caf?,,144.9615279,-37.8144274,3000,Melbourne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/614502268,387,Little Bourke Street,cafe,,Cafe all' Angelo,,144.9613979,-37.8137805,3000,Melbourne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/616546821,391,Little Lonsdale Street,cafe,,Kerbside Caffe,,144.9603455,-37.811806,3000,Melbourne,retail,,,,,,,,,,,,,,,,,Shop 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/617439485,45,William Street,cafe,,@ Cafe 45,,144.959211,-37.818494,,,,,Mo-Fr 06:30-16:00; Sa 07:30-15:00; Su off,+61 401 185 881,,https://cafe45william.com/,,,,,,,,8/02/2026,,,,,https://www.instagram.com/cafe45william,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
